"species","GO_ID","Term","Ont","GeneRatio","FoldEnrichment","pvalue","p.adjust","Count"
"Spla","GO:1903036","positive regulation of response to wounding","BP","4/123",5.57803545248567,0.00566354081782918,0.0600440207075409,4
"Spla","GO:0010763","positive regulation of fibroblast migration","BP","2/123",17.0130081300813,0.00579958186815775,0.0609222132022075,2
"Spla","GO:0090723",NA,NA,"2/123",17.0130081300813,0.00579958186815775,0.0609222132022075,2
"Spla","GO:0050867","positive regulation of cell activation","BP","5/123",4.3400530944085,0.00588804378645733,0.0615690423332753,5
"Spla","GO:0031252","cell leading edge","CC","8/123",2.93327726380712,0.00599667390650998,0.0618924843065803,8
"Spla","GO:0061041","regulation of wound healing","BP","4/123",5.4880671387359,0.00600005743059424,0.0618924843065803,4
"Spla","GO:1903305","regulation of regulated secretory pathway","BP","4/123",5.4880671387359,0.00600005743059424,0.0618924843065803,4
"Spla","GO:0006897","endocytosis","BP","10/123",2.53925494478825,0.00605316691353225,0.0621393781252406,10
"Spla","GO:0038023","signaling receptor activity","MF","6/123",3.64564459930314,0.00609573379530528,0.0621393781252406,6
"Spla","GO:0015807","L-amino acid transport","BP","3/123",7.97484756097561,0.00613253251367003,0.0621393781252406,3
"Spla","GO:0045943","positive regulation of transcription by RNA polymerase I","BP","3/123",7.97484756097561,0.00613253251367003,0.0621393781252406,3
"Spla","GO:0030027","lamellipodium","CC","5/123",4.25325203252032,0.00640793937450019,0.0646439699013455,5
"Spla","GO:0051270",NA,NA,"12/123",2.27345320223804,0.00648192886084269,0.0651035837339025,12
