term	gene
GO:0060589	Tadh-TriadG51271
GO:0065007	Tadh-TriadG51271
GO:0065009	Tadh-TriadG51271
GO:0070013	Tadh-TriadG51271
GO:0070201	Tadh-TriadG51271
GO:0070887	Tadh-TriadG51271
GO:0071229	Tadh-TriadG51271
GO:0071230	Tadh-TriadG51271
GO:0071495	Tadh-TriadG51271
GO:0071705	Tadh-TriadG51271
GO:0071900	Tadh-TriadG51271
GO:0071901	Tadh-TriadG51271
GO:0072594	Tadh-TriadG51271
GO:0080090	Tadh-TriadG51271
GO:0090087	Tadh-TriadG51271
GO:0090316	Tadh-TriadG51271
GO:0098772	Tadh-TriadG51271
GO:1900180	Tadh-TriadG51271
GO:1900182	Tadh-TriadG51271
GO:1901698	Tadh-TriadG51271
GO:1901699	Tadh-TriadG51271
GO:1901700	Tadh-TriadG51271
GO:1901701	Tadh-TriadG51271
GO:1903829	Tadh-TriadG51271
GO:1904030	Tadh-TriadG51271
GO:1904589	Tadh-TriadG51271
GO:1904591	Tadh-TriadG51271
GO:1904951	Tadh-TriadG51271
GO:0001700	Tadh-TriadG63161
GO:0001775	Tadh-TriadG63161
GO:0001932	Tadh-TriadG63161
GO:0001934	Tadh-TriadG63161
GO:0002252	Tadh-TriadG63161
GO:0002263	Tadh-TriadG63161
GO:0002274	Tadh-TriadG63161
GO:0002275	Tadh-TriadG63161
GO:0002283	Tadh-TriadG63161
GO:0002366	Tadh-TriadG63161
