CellName,broad_cell_type,CellTypes
982-14-6,Neural Posterior,Dare_Neural Posterior
990-14-6,Neural Mid,Dare_Neural Mid
991-14-6,Mesoderm,Dare_Mesoderm
992-14-6,Mesoderm,Dare_Mesoderm
993-14-6,Epidermal,Dare_Epidermal
994-14-6,Neural Posterior,Dare_Neural Posterior
995-14-6,Neural Anterior,Dare_Neural Anterior
996-14-6,Neural Anterior,Dare_Neural Anterior
997-14-6,Mesoderm,Dare_Mesoderm
1005-14-6,Epidermal,Dare_Epidermal
1006-14-6,Epidermal,Dare_Epidermal
1007-14-6,Neural Anterior,Dare_Neural Anterior
1008-14-6,Neural Posterior,Dare_Neural Posterior
1009-14-6,Neural Posterior,Dare_Neural Posterior
1010-14-6,Neural Posterior,Dare_Neural Posterior
1011-14-6,Neural Posterior,Dare_Neural Posterior
1012-14-6,Neural Mid,Dare_Neural Mid
1020-14-6,Mesoderm,Dare_Mesoderm
1021-14-6,Neural Mid,Dare_Neural Mid
1022-14-6,Neural Posterior,Dare_Neural Posterior
1023-14-6,Neural Posterior,Dare_Neural Posterior
1024-14-6,Neural Posterior,Dare_Neural Posterior
1025-14-6,Neural Posterior,Dare_Neural Posterior
1026-14-6,Neural Mid,Dare_Neural Mid
1027-14-6,Neural Posterior,Dare_Neural Posterior
1035-14-6,Mesoderm,Dare_Mesoderm
1036-14-6,Neural Posterior,Dare_Neural Posterior
1037-14-6,Neural Anterior,Dare_Neural Anterior
1038-14-6,Neural Anterior,Dare_Neural Anterior
1039-14-6,Mesoderm,Dare_Mesoderm
1040-14-6,Neural Posterior,Dare_Neural Posterior
1041-14-6,Neural Posterior,Dare_Neural Posterior
1042-14-6,Neural Mid,Dare_Neural Mid
1050-14-6,Mesoderm,Dare_Mesoderm
1051-14-6,Neural Crest,Dare_Neural Crest
1052-14-6,Endoderm,Dare_Endoderm
1053-14-6,Neural Posterior,Dare_Neural Posterior
1054-14-6,Mesoderm,Dare_Mesoderm
1055-14-6,Neural Mid,Dare_Neural Mid
1056-14-6,Neural Posterior,Dare_Neural Posterior
1057-14-6,Neural Posterior,Dare_Neural Posterior
1065-14-6,Mesoderm,Dare_Mesoderm
1066-14-6,Neural Crest,Dare_Neural Crest
1067-14-6,Neural Anterior,Dare_Neural Anterior
1068-14-6,Neural Mid,Dare_Neural Mid
1069-14-6,Neural Anterior,Dare_Neural Anterior
1070-14-6,Neural Posterior,Dare_Neural Posterior
1071-14-6,Neural Anterior,Dare_Neural Anterior
1072-14-6,Neural Anterior,Dare_Neural Anterior
1080-14-6,Mesoderm,Dare_Mesoderm
1081-14-6,Mesoderm,Dare_Mesoderm
1082-14-6,Neural Mid,Dare_Neural Mid
1083-14-6,Neural Anterior,Dare_Neural Anterior
1084-14-6,Mesoderm,Dare_Mesoderm
1085-14-6,Neural Posterior,Dare_Neural Posterior
1086-14-6,Mesoderm,Dare_Mesoderm
1087-14-6,Mesoderm,Dare_Mesoderm
1095-14-6,Neural Anterior,Dare_Neural Anterior
1096-14-6,Neural Mid,Dare_Neural Mid
1097-14-6,Neural Mid,Dare_Neural Mid
1098-14-6,Neural Anterior,Dare_Neural Anterior
1099-14-6,Neural Posterior,Dare_Neural Posterior
1100-14-6,Neural Mid,Dare_Neural Mid
1101-14-6,Neural Posterior,Dare_Neural Posterior
1102-14-6,Neural Anterior,Dare_Neural Anterior
1110-14-6,Epidermal,Dare_Epidermal
1111-14-6,Neural Posterior,Dare_Neural Posterior
1112-14-6,Mesoderm,Dare_Mesoderm
1113-14-6,Endoderm,Dare_Endoderm
1114-14-6,Neural Mid,Dare_Neural Mid
1115-14-6,Neural Mid,Dare_Neural Mid
1116-14-6,Neural Anterior,Dare_Neural Anterior
1117-14-6,Neural Posterior,Dare_Neural Posterior
1125-14-6,Mesoderm,Dare_Mesoderm
1126-14-6,Neural Anterior,Dare_Neural Anterior
1127-14-6,Endoderm,Dare_Endoderm
1128-14-6,Neural Anterior,Dare_Neural Anterior
1129-14-6,Neural Posterior,Dare_Neural Posterior
1130-14-6,Neural Posterior,Dare_Neural Posterior
1131-14-6,Neural Posterior,Dare_Neural Posterior
1132-14-6,Neural Mid,Dare_Neural Mid
1140-14-6,Epidermal,Dare_Epidermal
1141-14-6,Endoderm,Dare_Endoderm
1142-14-6,Neural Posterior,Dare_Neural Posterior
1143-14-6,Neural Anterior,Dare_Neural Anterior
1144-14-6,Neural Posterior,Dare_Neural Posterior
1145-14-6,Neural Posterior,Dare_Neural Posterior
1146-14-6,Neural Posterior,Dare_Neural Posterior
1147-14-6,Neural Posterior,Dare_Neural Posterior
1155-14-6,Mesoderm,Dare_Mesoderm
1156-14-6,Endoderm,Dare_Endoderm
1157-14-6,Epidermal,Dare_Epidermal
1158-14-6,Neural Posterior,Dare_Neural Posterior
1159-14-6,Mesoderm,Dare_Mesoderm
1160-14-6,Mesoderm,Dare_Mesoderm
1161-14-6,Neural Mid,Dare_Neural Mid
1162-14-6,Neural Posterior,Dare_Neural Posterior
1170-14-6,Epidermal,Dare_Epidermal
1171-14-6,Neural Posterior,Dare_Neural Posterior
1172-14-6,Neural Crest,Dare_Neural Crest
1173-14-6,Neural Posterior,Dare_Neural Posterior
1174-14-6,Neural Posterior,Dare_Neural Posterior
1175-14-6,Neural Anterior,Dare_Neural Anterior
1176-14-6,Neural Posterior,Dare_Neural Posterior
1177-14-6,Neural Anterior,Dare_Neural Anterior
1185-14-6,Mesoderm,Dare_Mesoderm
1186-14-6,Neural Anterior,Dare_Neural Anterior
1187-14-6,Neural Mid,Dare_Neural Mid
1188-14-6,Neural Anterior,Dare_Neural Anterior
1189-14-6,Neural Posterior,Dare_Neural Posterior
1190-14-6,Mesoderm,Dare_Mesoderm
1191-14-6,Neural Mid,Dare_Neural Mid
1192-14-6,Mesoderm,Dare_Mesoderm
1200-14-6,Mesoderm,Dare_Mesoderm
1201-14-6,Mesoderm,Dare_Mesoderm
1202-14-6,Neural Anterior,Dare_Neural Anterior
1203-14-6,Neural Anterior,Dare_Neural Anterior
1204-14-6,Mesoderm,Dare_Mesoderm
1205-14-6,Neural Posterior,Dare_Neural Posterior
1206-14-6,Neural Anterior,Dare_Neural Anterior
1207-14-6,Mesoderm,Dare_Mesoderm
1215-14-6,Mesoderm,Dare_Mesoderm
1216-14-6,Neural Mid,Dare_Neural Mid
1217-14-6,Mesoderm,Dare_Mesoderm
1218-14-6,Neural Posterior,Dare_Neural Posterior
1219-14-6,Neural Posterior,Dare_Neural Posterior
1220-14-6,Neural Anterior,Dare_Neural Anterior
1221-14-6,Neural Anterior,Dare_Neural Anterior
1222-14-6,Neural Mid,Dare_Neural Mid
1230-14-6,Mesoderm,Dare_Mesoderm
1231-14-6,Neural Anterior,Dare_Neural Anterior
1232-14-6,Mesoderm,Dare_Mesoderm
1233-14-6,Neural Crest,Dare_Neural Crest
1234-14-6,Neural Posterior,Dare_Neural Posterior
1235-14-6,Neural Posterior,Dare_Neural Posterior
1236-14-6,Mesoderm,Dare_Mesoderm
1237-14-6,Mesoderm,Dare_Mesoderm
1245-14-6,Mesoderm,Dare_Mesoderm
1246-14-6,Neural Anterior,Dare_Neural Anterior
1247-14-6,Neural Mid,Dare_Neural Mid
1248-14-6,Neural Mid,Dare_Neural Mid
1249-14-6,Neural Posterior,Dare_Neural Posterior
1250-14-6,Neural Anterior,Dare_Neural Anterior
1251-14-6,Neural Mid,Dare_Neural Mid
1252-14-6,Neural Anterior,Dare_Neural Anterior
1260-14-6,Mesoderm,Dare_Mesoderm
1261-14-6,Neural Mid,Dare_Neural Mid
1262-14-6,Neural Mid,Dare_Neural Mid
1263-14-6,Neural Posterior,Dare_Neural Posterior
1264-14-6,Neural Anterior,Dare_Neural Anterior
1265-14-6,Neural Posterior,Dare_Neural Posterior
1266-14-6,Neural Posterior,Dare_Neural Posterior
1275-14-6,Epidermal,Dare_Epidermal
1276-14-6,Mesoderm,Dare_Mesoderm
1277-14-6,Mesoderm,Dare_Mesoderm
1278-14-6,Mesoderm,Dare_Mesoderm
1279-14-6,Mesoderm,Dare_Mesoderm
