source,target,weight,source_type,target_type
4989,5418,-168684.04059844336,"GA, Gastrodermal cell","EM, Epidermal/Muscle cell"
4774,12656,-168590.5519871933,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,9233,-168532.4502725784,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,12993,-168409.52640907455,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,28188,-167745.24920746844,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4657,28752,167699.76661656148,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4202,5418,167538.0592890508,"GA, Gastrodermal cell","EM, Epidermal/Muscle cell"
4202,691,-167454.82595597315,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,15304,167099.74827704704,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,11984,-166957.22541433357,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,2033,-166946.90183545105,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,608,166859.85781956342,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,21259,-166720.46536522362,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4534,512,166673.0469322447,"NE, Neural cell","CN, Cnidocytes/Nematocyte cell"
4774,28752,-166673.01305205977,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,10970,-166291.0957032811,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,8523,-166230.03713346703,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,7310,166094.51312144395,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4657,12656,165991.73095913004,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4774,10104,-165837.93140298408,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,9974,-165033.24873756658,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,13529,164649.5982865718,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,1900,164467.35194866502,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4657,10104,164356.27771481557,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4989,845,164224.11396923865,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4652,6264,164146.73104521525,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,18913,-164136.6321542448,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,25771,164041.93952675423,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,4064,163748.62712668336,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,15304,-163643.00598928513,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,18631,163436.5141730928,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,3255,-163333.62803358326,"GA, Gastrodermal cell","GL, Gland cell"
3591,19862,-162985.84837667437,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,26447,162794.016609362,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4995,14923,-162762.83420663676,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
