,Sub_cell_type,Broad_cell_type
3_CELL3209_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3216_N1,SG_1,"SG, Stem/Germline cell"
3_CELL3218_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3221_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3222_N2,HA,"HA, Hair cell"
3_CELL3223_N2,GA_2,"GA, Gastrodermal cell"
3_CELL3224_N4,NE_4,"NE, Neural cell"
3_CELL3225_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3228_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3229_N2,NE_3,"NE, Neural cell"
3_CELL3231_N2,NE_4,"NE, Neural cell"
3_CELL3232_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3234_N5,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3240_N2,HA,"HA, Hair cell"
3_CELL3244_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3245_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3247_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3248_N3,NE_3,"NE, Neural cell"
3_CELL3251_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3252_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3258_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3259_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL3261_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3263_N3,HA,"HA, Hair cell"
3_CELL3265_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3266_N1,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3269_N2,HA,"HA, Hair cell"
3_CELL3271_N4,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3274_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3275_N3,HA,"HA, Hair cell"
3_CELL3277_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3279_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3280_N4,NE_1,"NE, Neural cell"
3_CELL3281_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3284_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3288_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3289_N2,NE_1,"NE, Neural cell"
3_CELL3294_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3296_N2,GA_2,"GA, Gastrodermal cell"
3_CELL3298_N2,HA,"HA, Hair cell"
3_CELL3301_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL3303_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3304_N2,NE_3,"NE, Neural cell"
3_CELL3305_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL3309_N2,GA_2,"GA, Gastrodermal cell"
