,Sub_cell_type,Broad_cell_type
2_CELL18229_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL18234_N1,GA_4,"GA, Gastrodermal cell"
2_CELL18236_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL18246_N1,GL_1,"GL, Gland cell"
2_CELL18248_N1,NE_3,"NE, Neural cell"
2_CELL18298_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL18308_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18312_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL18321_N1,NE_3,"NE, Neural cell"
2_CELL18323_N1,HA,"HA, Hair cell"
2_CELL18350_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18351_N1,HA,"HA, Hair cell"
2_CELL18352_N1,SG_2,"SG, Stem/Germline cell"
2_CELL18359_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18360_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL18376_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18391_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18417_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL18420_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18427_N1,SG_2,"SG, Stem/Germline cell"
2_CELL18447_N1,GA_4,"GA, Gastrodermal cell"
2_CELL18456_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18484_N1,GA_1,"GA, Gastrodermal cell"
2_CELL18485_N1,HA,"HA, Hair cell"
2_CELL18490_N1,SG_1,"SG, Stem/Germline cell"
2_CELL18508_N1,NE_4,"NE, Neural cell"
2_CELL18509_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18510_N1,GA_2,"GA, Gastrodermal cell"
2_CELL18515_N1,NE_2,"NE, Neural cell"
2_CELL18522_N1,GA_5,"GA, Gastrodermal cell"
2_CELL18525_N1,NE_1,"NE, Neural cell"
2_CELL18533_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18535_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
2_CELL18538_N1,HA,"HA, Hair cell"
2_CELL18548_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18550_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL18587_N1,NE_2,"NE, Neural cell"
2_CELL18589_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL18592_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL18599_N1,SG_1,"SG, Stem/Germline cell"
2_CELL18602_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL18605_N1,SG_1,"SG, Stem/Germline cell"
2_CELL18617_N1,GA_3,"GA, Gastrodermal cell"
2_CELL18620_N1,GA_1,"GA, Gastrodermal cell"
2_CELL18642_N1,GA_3,"GA, Gastrodermal cell"
2_CELL18649_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL18665_N1,NE_2,"NE, Neural cell"
2_CELL18674_N1,GL_2,"GL, Gland cell"
2_CELL18686_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL18690_N1,GA_1,"GA, Gastrodermal cell"
2_CELL18716_N1,GA_1,"GA, Gastrodermal cell"
2_CELL18725_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL18726_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
2_CELL18755_N1,NE_2,"NE, Neural cell"
2_CELL18763_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL18764_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18783_N1,NE_2,"NE, Neural cell"
2_CELL18809_N1,SG_3,"SG, Stem/Germline cell"
2_CELL18816_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18828_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL18847_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL18902_N1,GA_5,"GA, Gastrodermal cell"
2_CELL18933_N1,GL_1,"GL, Gland cell"
2_CELL18939_N1,NE_1,"NE, Neural cell"
2_CELL18971_N1,GA_3,"GA, Gastrodermal cell"
2_CELL18983_N1,GA_2,"GA, Gastrodermal cell"
2_CELL18991_N1,NE_1,"NE, Neural cell"
2_CELL19001_N1,GA_1,"GA, Gastrodermal cell"
2_CELL19019_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL19048_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19057_N1,NE_2,"NE, Neural cell"
2_CELL19062_N1,HA,"HA, Hair cell"
2_CELL19101_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19114_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19118_N1,SG_3,"SG, Stem/Germline cell"
2_CELL19123_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL19126_N1,GL_1,"GL, Gland cell"
2_CELL19132_N1,NE_3,"NE, Neural cell"
2_CELL19137_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL19152_N1,NE_2,"NE, Neural cell"
2_CELL19158_N1,HA,"HA, Hair cell"
2_CELL19167_N1,SG_1,"SG, Stem/Germline cell"
2_CELL19169_N1,GA_1,"GA, Gastrodermal cell"
2_CELL19186_N1,NE_2,"NE, Neural cell"
2_CELL19217_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19221_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19238_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL19241_N1,SG_3,"SG, Stem/Germline cell"
2_CELL19255_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19259_N1,NE_1,"NE, Neural cell"
2_CELL19265_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19273_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19288_N1,NE_2,"NE, Neural cell"
2_CELL19290_N1,GA_1,"GA, Gastrodermal cell"
2_CELL19291_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL19309_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19328_N1,SG_1,"SG, Stem/Germline cell"
2_CELL19356_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19370_N1,HA,"HA, Hair cell"
2_CELL19371_N1,NE_2,"NE, Neural cell"
2_CELL19386_N1,GA_2,"GA, Gastrodermal cell"
2_CELL19388_N1,NE_1,"NE, Neural cell"
2_CELL19402_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL19410_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19427_N1,NE_3,"NE, Neural cell"
2_CELL19431_N1,GA_2,"GA, Gastrodermal cell"
2_CELL19435_N1,GL_1,"GL, Gland cell"
2_CELL19462_N1,NE_1,"NE, Neural cell"
2_CELL19478_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19485_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19501_N1,GA_3,"GA, Gastrodermal cell"
2_CELL19502_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19517_N1,HA,"HA, Hair cell"
2_CELL19537_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19550_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19554_N1,SG_3,"SG, Stem/Germline cell"
2_CELL19566_N1,SG_3,"SG, Stem/Germline cell"
2_CELL19570_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19575_N1,SG_4,"SG, Stem/Germline cell"
2_CELL19595_N1,GA_3,"GA, Gastrodermal cell"
2_CELL19599_N1,GA_1,"GA, Gastrodermal cell"
2_CELL19602_N1,GA_4,"GA, Gastrodermal cell"
2_CELL19603_N1,GA_2,"GA, Gastrodermal cell"
2_CELL19624_N1,GA_1,"GA, Gastrodermal cell"
2_CELL19637_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19638_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19644_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL19656_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19659_N1,NE_1,"NE, Neural cell"
2_CELL19661_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL19673_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
2_CELL19691_N1,NE_4,"NE, Neural cell"
2_CELL19696_N1,NE_1,"NE, Neural cell"
2_CELL19721_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19739_N1,GA_4,"GA, Gastrodermal cell"
2_CELL19758_N1,GL_2,"GL, Gland cell"
2_CELL19774_N1,NE_1,"NE, Neural cell"
2_CELL19782_N1,NE_3,"NE, Neural cell"
2_CELL19786_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19791_N1,SG_2,"SG, Stem/Germline cell"
2_CELL19800_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL19836_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19846_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19856_N1,GA_2,"GA, Gastrodermal cell"
2_CELL19879_N1,HA,"HA, Hair cell"
2_CELL19889_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19904_N1,GA_2,"GA, Gastrodermal cell"
2_CELL19956_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL19964_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL19993_N1,GL_1,"GL, Gland cell"
2_CELL20003_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20006_N1,SG_3,"SG, Stem/Germline cell"
2_CELL20014_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20015_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL20031_N1,GA_4,"GA, Gastrodermal cell"
2_CELL20038_N1,GA_5,"GA, Gastrodermal cell"
2_CELL20046_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL20048_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL20052_N1,NE_4,"NE, Neural cell"
2_CELL20057_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20075_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20078_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL20094_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20115_N1,HA,"HA, Hair cell"
2_CELL20116_N1,GL_1,"GL, Gland cell"
2_CELL20126_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20150_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20160_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20175_N1,GA_2,"GA, Gastrodermal cell"
2_CELL20193_N1,HA,"HA, Hair cell"
2_CELL20205_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20211_N1,NE_2,"NE, Neural cell"
2_CELL20242_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20254_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20273_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20279_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20286_N1,GA_2,"GA, Gastrodermal cell"
2_CELL20288_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20297_N1,GA_4,"GA, Gastrodermal cell"
2_CELL20322_N1,GA_2,"GA, Gastrodermal cell"
2_CELL20336_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20363_N1,SG_3,"SG, Stem/Germline cell"
2_CELL20367_N1,SG_2,"SG, Stem/Germline cell"
2_CELL20380_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20391_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20392_N1,NE_4,"NE, Neural cell"
2_CELL20401_N1,GA_2,"GA, Gastrodermal cell"
2_CELL20406_N1,GA_3,"GA, Gastrodermal cell"
2_CELL20413_N1,GA_3,"GA, Gastrodermal cell"
2_CELL20415_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20424_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20443_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20467_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL20474_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20477_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20478_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20480_N1,GA_4,"GA, Gastrodermal cell"
2_CELL20483_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20490_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20492_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20506_N1,NE_1,"NE, Neural cell"
2_CELL20507_N1,SG_2,"SG, Stem/Germline cell"
2_CELL20514_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20516_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20517_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20519_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20526_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20535_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20536_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20544_N1,NE_1,"NE, Neural cell"
2_CELL20557_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20563_N1,HA,"HA, Hair cell"
2_CELL20566_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20574_N1,GL_1,"GL, Gland cell"
2_CELL20578_N1,GA_3,"GA, Gastrodermal cell"
2_CELL20582_N1,NE_2,"NE, Neural cell"
2_CELL20591_N1,SG_2,"SG, Stem/Germline cell"
2_CELL20593_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20597_N1,HA,"HA, Hair cell"
2_CELL20602_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20610_N1,SG_3,"SG, Stem/Germline cell"
2_CELL20622_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20623_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20633_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20652_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20682_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20689_N1,SG_3,"SG, Stem/Germline cell"
2_CELL20704_N1,GA_2,"GA, Gastrodermal cell"
2_CELL20740_N1,GA_1,"GA, Gastrodermal cell"
2_CELL20741_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL20760_N1,NE_4,"NE, Neural cell"
2_CELL20770_N1,HA,"HA, Hair cell"
2_CELL20774_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
2_CELL20824_N1,GA_4,"GA, Gastrodermal cell"
2_CELL20826_N1,NE_3,"NE, Neural cell"
2_CELL20860_N1,GL_1,"GL, Gland cell"
2_CELL20862_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20884_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20889_N1,SG_2,"SG, Stem/Germline cell"
2_CELL20905_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL20908_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20921_N1,GL_2,"GL, Gland cell"
2_CELL20953_N1,GA_3,"GA, Gastrodermal cell"
2_CELL20954_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL20956_N1,GA_3,"GA, Gastrodermal cell"
2_CELL20960_N1,NE_3,"NE, Neural cell"
2_CELL20968_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL20970_N1,NE_1,"NE, Neural cell"
2_CELL20972_N1,HA,"HA, Hair cell"
2_CELL20979_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL20993_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21006_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21012_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21024_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21041_N1,GL_1,"GL, Gland cell"
2_CELL21053_N1,NE_3,"NE, Neural cell"
2_CELL21067_N1,SG_2,"SG, Stem/Germline cell"
2_CELL21074_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21076_N1,NE_1,"NE, Neural cell"
2_CELL21077_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21089_N1,GA_3,"GA, Gastrodermal cell"
2_CELL21126_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21159_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21160_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21162_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21177_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL21196_N1,HA,"HA, Hair cell"
2_CELL21211_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL21212_N1,GA_2,"GA, Gastrodermal cell"
2_CELL21223_N1,SG_1,"SG, Stem/Germline cell"
2_CELL21236_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21239_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL21265_N1,SG_2,"SG, Stem/Germline cell"
2_CELL21268_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21289_N1,NE_1,"NE, Neural cell"
2_CELL21314_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21315_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21320_N1,HA,"HA, Hair cell"
2_CELL21324_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21328_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21336_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21337_N1,SG_2,"SG, Stem/Germline cell"
2_CELL21339_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21351_N1,HA,"HA, Hair cell"
2_CELL21353_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21364_N1,NE_3,"NE, Neural cell"
2_CELL21365_N1,HA,"HA, Hair cell"
2_CELL21384_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21393_N1,HA,"HA, Hair cell"
2_CELL21399_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21407_N1,NE_4,"NE, Neural cell"
2_CELL21424_N1,NE_1,"NE, Neural cell"
2_CELL21441_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21444_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21493_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21501_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21509_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21517_N1,SG_3,"SG, Stem/Germline cell"
2_CELL21530_N1,NE_1,"NE, Neural cell"
2_CELL21538_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21570_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21595_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21621_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21622_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21640_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21647_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21661_N1,SG_4,"SG, Stem/Germline cell"
2_CELL21669_N1,NE_3,"NE, Neural cell"
2_CELL21670_N1,GA_4,"GA, Gastrodermal cell"
2_CELL21672_N1,NE_3,"NE, Neural cell"
2_CELL21689_N1,NE_3,"NE, Neural cell"
2_CELL21703_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21705_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21716_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21724_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21732_N1,HA,"HA, Hair cell"
2_CELL21735_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21755_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21761_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21777_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21780_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21785_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21801_N1,NE_3,"NE, Neural cell"
2_CELL21808_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL21824_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL21827_N1,GL_1,"GL, Gland cell"
2_CELL21828_N1,SG_3,"SG, Stem/Germline cell"
2_CELL21844_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21869_N1,NE_2,"NE, Neural cell"
2_CELL21877_N1,HA,"HA, Hair cell"
2_CELL21890_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21895_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL21902_N1,GA_2,"GA, Gastrodermal cell"
2_CELL21903_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21915_N1,GL_1,"GL, Gland cell"
2_CELL21946_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL21949_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL21980_N1,GA_2,"GA, Gastrodermal cell"
2_CELL21983_N1,GA_1,"GA, Gastrodermal cell"
2_CELL21986_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22000_N1,GL_2,"GL, Gland cell"
2_CELL22055_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22056_N1,SG_2,"SG, Stem/Germline cell"
2_CELL22062_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22076_N1,NE_1,"NE, Neural cell"
2_CELL22082_N1,CN_4,"CN, Cnidocytes/Nematocyte cell"
2_CELL22084_N1,HA,"HA, Hair cell"
2_CELL22139_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22151_N1,GL_1,"GL, Gland cell"
2_CELL22153_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL22154_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL22189_N1,HA,"HA, Hair cell"
2_CELL22209_N1,GA_2,"GA, Gastrodermal cell"
2_CELL22221_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22223_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22228_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
2_CELL22259_N1,SG_2,"SG, Stem/Germline cell"
2_CELL22277_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22315_N1,HA,"HA, Hair cell"
2_CELL22318_N1,GA_2,"GA, Gastrodermal cell"
2_CELL22327_N1,HA,"HA, Hair cell"
2_CELL22343_N1,GA_3,"GA, Gastrodermal cell"
2_CELL22347_N1,GA_2,"GA, Gastrodermal cell"
2_CELL22393_N1,NE_3,"NE, Neural cell"
2_CELL22414_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22421_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22423_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22429_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22437_N1,HA,"HA, Hair cell"
2_CELL22449_N1,NE_1,"NE, Neural cell"
2_CELL22453_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22482_N1,GA_2,"GA, Gastrodermal cell"
2_CELL22490_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22498_N1,SG_1,"SG, Stem/Germline cell"
2_CELL22505_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22530_N1,GA_3,"GA, Gastrodermal cell"
2_CELL22543_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22561_N1,HA,"HA, Hair cell"
2_CELL22570_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22589_N1,NE_2,"NE, Neural cell"
2_CELL22592_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22607_N1,HA,"HA, Hair cell"
2_CELL22621_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22622_N1,SG_1,"SG, Stem/Germline cell"
2_CELL22627_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22639_N1,SG_4,"SG, Stem/Germline cell"
2_CELL22661_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22673_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL22678_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22679_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL22699_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22703_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL22705_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22712_N1,NE_1,"NE, Neural cell"
2_CELL22714_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22732_N1,EM_3,"EM, Epidermal/Muscle cell"
2_CELL22755_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22793_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22804_N1,HA,"HA, Hair cell"
2_CELL22822_N1,SG_1,"SG, Stem/Germline cell"
2_CELL22826_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22838_N1,NE_4,"NE, Neural cell"
2_CELL22843_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22865_N1,NE_1,"NE, Neural cell"
2_CELL22879_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22880_N1,SG_2,"SG, Stem/Germline cell"
2_CELL22883_N1,SG_1,"SG, Stem/Germline cell"
2_CELL22890_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22891_N1,HA,"HA, Hair cell"
2_CELL22898_N1,NE_1,"NE, Neural cell"
2_CELL22902_N1,SG_2,"SG, Stem/Germline cell"
2_CELL22916_N1,GA_3,"GA, Gastrodermal cell"
2_CELL22918_N1,GA_3,"GA, Gastrodermal cell"
2_CELL22923_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL22930_N1,GA_3,"GA, Gastrodermal cell"
2_CELL22944_N1,GA_1,"GA, Gastrodermal cell"
2_CELL22971_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL22972_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL22983_N1,NE_1,"NE, Neural cell"
2_CELL23004_N1,GA_4,"GA, Gastrodermal cell"
2_CELL23013_N1,GA_2,"GA, Gastrodermal cell"
2_CELL23020_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL23041_N1,NE_2,"NE, Neural cell"
2_CELL23048_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
2_CELL23072_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL23078_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL23081_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL23097_N1,GA_2,"GA, Gastrodermal cell"
2_CELL23100_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
2_CELL23103_N1,NE_1,"NE, Neural cell"
2_CELL23105_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL23124_N1,NE_1,"NE, Neural cell"
2_CELL23141_N1,SG_2,"SG, Stem/Germline cell"
2_CELL23147_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL23164_N1,EM_1,"EM, Epidermal/Muscle cell"
2_CELL23176_N1,NE_1,"NE, Neural cell"
2_CELL23199_N1,EM_2,"EM, Epidermal/Muscle cell"
2_CELL23222_N1,NE_3,"NE, Neural cell"
2_CELL23229_N1,EM_3,"EM, Epidermal/Muscle cell"
