"","tSNE_1","tSNE_2"
"1_CELL314_N3",-11.1028326945294,-14.5261004878338
"1_CELL315_N4",-11.2835219530861,4.18847074569365
"1_CELL316_N5",24.425704566014,29.2335872777345
"1_CELL317_N3",15.3702057719453,-22.272376197201
"1_CELL320_N3",-7.05220880238,20.9102053159064
"1_CELL321_N2",-8.01915651741018,-22.0388503809922
"1_CELL322_N2",-40.8437165115339,4.26651730063951
"1_CELL323_N1",-42.7305970918354,-3.98876034236934
"1_CELL326_N3",-14.2450409351167,-18.7772124274568
"1_CELL327_N3",28.5755543807803,-18.809179323885
"1_CELL328_N3",9.75101982850754,-2.21180481061584
"1_CELL330_N5",14.955543093789,29.2277928910172
"1_CELL331_N2",-3.5136334606449,18.1468381602778
"1_CELL333_N3",-2.7269574076166,-1.20838986385784
"1_CELL335_N2",4.04042472892852,-25.3011183845624
"1_CELL337_N3",8.60449413064088,-11.4086101154499
"1_CELL338_N3",-3.12530116934174,36.7817100469873
"1_CELL339_N1",8.37147423257621,5.14824973949347
"1_CELL341_N3",-41.5449577246156,2.71250458889362
"1_CELL342_N3",4.57082140547187,33.1524463330523
"1_CELL344_N3",-28.754515829394,29.6665395916088
"1_CELL345_N4",-8.14682866390982,-33.4826836616811
"1_CELL346_N4",0.643452627217537,-1.23956995664308
"1_CELL347_N2",-4.13662644770996,-3.72259583115261
"1_CELL348_N2",10.0097814216337,16.9238896611536
"1_CELL349_N1",-21.2248256827042,-3.39359444148414
"1_CELL351_N2",28.4897710479619,15.0883572223229
"1_CELL352_N3",2.25233538979273,-8.53410631058829
"1_CELL353_N3",-4.72809729851619,-3.89039783241535
"1_CELL357_N2",-5.81783749900291,30.3878411531343
"1_CELL358_N3",-16.7525359990685,19.635926590939
"1_CELL359_N3",3.33305078710038,-1.07148571060092
"1_CELL364_N2",26.5900814730317,-29.5240337781188
"1_CELL365_N3",-19.5059357879734,-12.0420288225979
"1_CELL366_N3",2.69086656633132,-0.492555232295038
"1_CELL367_N4",-9.98675250448879,0.645061106826105
"1_CELL368_N3",19.249860674226,-9.0377311254304
"1_CELL371_N2",19.6519677809089,28.1994468866993
"1_CELL373_N3",-8.97570797448543,29.0006183884814
"1_CELL377_N3",-28.249672796833,4.49977136599996
"1_CELL381_N3",31.0535783202767,0.613448220600941
"1_CELL382_N5",7.8328387245766,14.3108401115749
"1_CELL383_N2",-27.3969674132375,-27.5417957601947
"1_CELL386_N5",-14.294269414828,19.3513852946578
"1_CELL387_N2",14.2258648074622,-14.1206049370238
"1_CELL389_N2",5.02779554063519,2.33218180921945
"1_CELL390_N3",33.7620889803555,-14.9412571445776
"1_CELL392_N4",-19.0961079505861,-14.1382139446181
"1_CELL393_N4",-18.5374374413429,-9.27404626284372
"1_CELL396_N4",18.7465044601715,-24.4734787833767
"1_CELL400_N3",25.5370535279077,13.2953033655875
"1_CELL402_N3",9.29425300574999,-14.3750536463707
"1_CELL405_N2",24.8756795183952,-17.5672705069274
"1_CELL407_N2",-6.76904966994245,0.21769885287143
"1_CELL409_N2",5.13478746689447,0.753451093478394
"1_CELL410_N2",42.913144820579,-5.90858653305343
"1_CELL411_N4",-25.4215085441429,-26.0752765831669
"1_CELL412_N4",-16.2753981731282,-31.7867443794543
"1_CELL413_N2",-31.1296034039236,-10.7374812233372
"1_CELL416_N1",-0.514339192264379,35.6747455988531
"1_CELL417_N3",14.8909741520836,-4.30076025641139
"1_CELL418_N2",-21.138034362488,4.99031108411815
"1_CELL419_N3",29.5353067942711,23.2950625262029
"1_CELL420_N2",-27.9566602406496,-23.9881246397013
"1_CELL421_N2",2.94157225470442,-5.48161917847971
"1_CELL423_N3",-16.8626234019153,19.7021421498785
"1_CELL424_N3",15.0986437317467,24.0028917902608
"1_CELL425_N2",24.7895070955208,11.0671661564408
"1_CELL426_N2",-1.0260018997511,29.7994522165746
"1_CELL427_N3",-7.63369733586194,-19.0704849814128
"1_CELL430_N2",-15.0750483350354,17.4095826047524
"1_CELL433_N3",-18.9311620262794,22.3067526545817
"1_CELL434_N4",-17.2250333896142,-11.9140644241656
"1_CELL437_N2",28.5720558301565,26.7343902483274
"1_CELL438_N3",43.8166721858222,-6.53897127912605
"1_CELL443_N6",-31.7141523232993,4.21687928724939
"1_CELL446_N2",-0.528848469379006,21.313112945389
"1_CELL447_N3",-10.4112866657776,-27.1734635190712
"1_CELL450_N3",5.82788054362998,-19.9971702480954
"1_CELL453_N2",-8.07967944086265,-6.11753255922744
"1_CELL455_N2",14.2845094709267,-4.43060948297018
"1_CELL458_N1",16.7164532407258,32.8730523799284
"1_CELL459_N3",-1.22151594690754,-1.42001374209707
"1_CELL465_N3",-0.45261030647223,10.8486170136415
"1_CELL469_N2",15.0232115003399,-12.6158180670268
"1_CELL471_N2",-10.8105279359363,-3.13365399044342
"1_CELL472_N2",-5.12402059636921,4.57019702252602
"1_CELL475_N2",-40.124773818512,-4.14976877919249
"1_CELL476_N3",-20.4762335998472,26.6262099179902
"1_CELL480_N2",-18.5827835245109,-11.4515208435634
"1_CELL481_N4",21.0247925874911,-27.662444056132
"1_CELL484_N3",23.9900852294605,13.0950622427432
"1_CELL486_N3",-13.1349109435699,-19.9541903990104
"1_CELL489_N2",-9.02825608649558,33.8714428477005
"1_CELL490_N2",7.73011892526044,13.7793913274387
"1_CELL491_N3",-15.2366113674829,4.62006771511691
"1_CELL492_N4",-21.4714892925075,-8.44417895786838
