"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL596_N2","au1",1855,435,"1",0,"3","3"
"1_CELL598_N2","au1",1903,718,"1",0,"2","2"
"1_CELL601_N3","au1",2301,862,"1",0,"3","3"
"1_CELL605_N2","au1",2189,806,"1",0,"7","7"
"1_CELL606_N4","au1",2120,918,"1",0,"13","13"
"1_CELL607_N4","au1",6770,1943,"1",0,"6","6"
"1_CELL608_N3","au1",1833,773,"1",0,"0","0"
"1_CELL610_N2","au1",2661,771,"1",0,"3","3"
"1_CELL611_N2","au1",9091,1717,"1",0,"20","20"
"1_CELL613_N3","au1",1377,642,"1",0,"2","2"
"1_CELL615_N2","au1",4703,1255,"1",0,"11","11"
"1_CELL617_N3","au1",2259,840,"1",0,"3","3"
"1_CELL618_N4","au1",2981,1058,"1",0,"17","17"
"1_CELL619_N3","au1",5339,1588,"1",0,"6","6"
"1_CELL620_N2","au1",1941,673,"1",0,"0","0"
"1_CELL621_N3","au1",2480,716,"1",0,"14","14"
"1_CELL622_N2","au1",1800,810,"1",0,"2","2"
"1_CELL623_N2","au1",1664,626,"1",0,"6","6"
"1_CELL624_N4","au1",2878,752,"1",0,"13","13"
"1_CELL625_N3","au1",2922,859,"1",0,"3","3"
"1_CELL628_N2","au1",2734,743,"1",0,"15","15"
"1_CELL629_N3","au1",7421,1794,"1",0,"3","3"
"1_CELL636_N2","au1",7166,1488,"1",0,"12","12"
"1_CELL637_N2","au1",2921,906,"1",0,"4","4"
"1_CELL638_N2","au1",1931,843,"1",0,"3","3"
"1_CELL640_N2","au1",1212,466,"1",0,"14","14"
"1_CELL641_N3","au1",2077,574,"1",0,"0","0"
"1_CELL643_N2","au1",8425,1503,"1",0,"19","19"
"1_CELL645_N2","au1",1386,646,"1",0,"1","1"
"1_CELL646_N2","au1",2811,677,"1",0,"0","0"
"1_CELL647_N5","au1",2395,845,"1",0,"0","0"
"1_CELL649_N4","au1",3408,1023,"1",0,"1","1"
"1_CELL651_N3","au1",1955,787,"1",0,"10","10"
"1_CELL652_N4","au1",3072,939,"1",0,"0","0"
"1_CELL656_N2","au1",2749,963,"1",0,"4","4"
"1_CELL658_N2","au1",1034,521,"1",0,"0","0"
"1_CELL662_N4","au1",4646,1168,"1",0,"14","14"
"1_CELL663_N3","au1",7257,1780,"1",0,"2","2"
"1_CELL665_N3","au1",2511,771,"1",0,"0","0"
"1_CELL666_N3","au1",1246,527,"1",0,"0","0"
"1_CELL668_N3","au1",4319,1080,"1",0,"14","14"
"1_CELL669_N2","au1",1586,666,"1",0,"2","2"
"1_CELL670_N3","au1",7023,1628,"1",0,"14","14"
"1_CELL671_N2","au1",3053,770,"1",0,"5","5"
"1_CELL672_N3","au1",2685,1087,"1",0,"6","6"
"1_CELL676_N2","au1",7004,1410,"1",0,"15","15"
"1_CELL679_N3","au1",4253,1010,"1",0,"0","0"
"1_CELL680_N2","au1",2527,715,"1",0,"0","0"
"1_CELL681_N4","au1",2419,928,"1",0,"0","0"
"1_CELL682_N4","au1",2562,778,"1",0,"2","2"
"1_CELL683_N2","au1",1973,672,"1",0,"2","2"
"1_CELL686_N3","au1",1447,646,"1",0,"0","0"
"1_CELL688_N4","au1",3599,992,"1",0,"13","13"
"1_CELL691_N4","au1",2133,841,"1",0,"21","21"
"1_CELL692_N2","au1",1161,484,"1",0,"3","3"
"1_CELL694_N3","au1",2085,744,"1",0,"11","11"
"1_CELL695_N2","au1",4416,901,"1",0,"4","4"
"1_CELL697_N2","au1",1716,718,"1",0,"3","3"
"1_CELL699_N3","au1",2127,667,"1",0,"10","10"
"1_CELL700_N3","au1",2045,635,"1",0,"17","17"
"1_CELL701_N2","au1",2205,909,"1",0,"5","5"
"1_CELL702_N4","au1",5147,1510,"1",0,"10","10"
"1_CELL704_N3","au1",3197,1121,"1",0,"0","0"
"1_CELL705_N2","au1",5412,840,"1",0,"16","16"
"1_CELL706_N4","au1",1860,635,"1",0,"2","2"
"1_CELL707_N8","au1",9660,1708,"1",0,"1","1"
"1_CELL708_N3","au1",2371,854,"1",0,"5","5"
"1_CELL709_N2","au1",9249,1876,"1",0,"2","2"
"1_CELL710_N3","au1",1895,627,"1",0,"0","0"
"1_CELL711_N3","au1",6494,1154,"1",0,"16","16"
"1_CELL714_N5","au1",10020,1963,"1",0,"5","5"
"1_CELL719_N2","au1",1412,611,"1",0,"2","2"
"1_CELL720_N3","au1",4951,1226,"1",0,"13","13"
"1_CELL721_N2","au1",4139,1119,"1",0,"14","14"
"1_CELL722_N4","au1",2571,1014,"1",0,"5","5"
"1_CELL723_N2","au1",1013,496,"1",0,"5","5"
"1_CELL725_N2","au1",2694,866,"1",0,"8","8"
"1_CELL728_N2","au1",1160,548,"1",0,"0","0"
"1_CELL729_N2","au1",1187,558,"1",0,"0","0"
"1_CELL735_N2","au1",2009,485,"1",0,"4","4"
"1_CELL736_N3","au1",1389,539,"1",0,"20","20"
"1_CELL739_N2","au1",1391,586,"1",0,"1","1"
"1_CELL742_N2","au1",3300,852,"1",0,"19","19"
"1_CELL744_N4","au1",2460,792,"1",0,"0","0"
"1_CELL745_N4","au1",5077,1159,"1",0,"0","0"
"1_CELL746_N1","au1",1607,710,"1",0,"10","10"
"1_CELL747_N3","au1",5043,1300,"1",0,"3","3"
"1_CELL748_N2","au1",1850,543,"1",0,"0","0"
"1_CELL751_N3","au1",2222,831,"1",0,"6","6"
"1_CELL752_N2","au1",2634,812,"1",0,"2","2"
"1_CELL755_N4","au1",2902,876,"1",0,"1","1"
"1_CELL756_N2","au1",1947,767,"1",0,"7","7"
"1_CELL758_N3","au1",1760,717,"1",0,"0","0"
"1_CELL760_N4","au1",5602,951,"1",0,"11","11"
"1_CELL761_N3","au1",2899,859,"1",0,"1","1"
"1_CELL762_N4","au1",2362,505,"1",0,"0","0"
"1_CELL763_N3","au1",2139,806,"1",0,"3","3"
"1_CELL764_N2","au1",1039,495,"1",0,"3","3"
"1_CELL767_N3","au1",3552,754,"1",0,"23","23"
"1_CELL776_N2","au1",2090,717,"1",0,"1","1"
"1_CELL779_N3","au1",2431,749,"1",0,"1","1"
"1_CELL781_N2","au1",2313,697,"1",0,"0","0"
"1_CELL782_N3","au1",3187,1088,"1",0,"3","3"
"1_CELL783_N3","au1",11286,1582,"1",0,"16","16"
"1_CELL784_N2","au1",3285,1053,"1",0,"4","4"
"1_CELL785_N3","au1",4725,1082,"1",0,"1","1"
