cluster,gene,rank
4,XLOC-025158#MYORG-HUMAN#Q6NSJ0,75
4,XLOC-002682#XLOC-002682,76
4,XLOC-025066#CTSR2-HUMAN#Q96P56,77
4,gene-evm.model.ptg000008l.408,78
4,XLOC-025017#CP3AO-SHEEP#Q29496,79
4,XLOC-015709#XLOC-015709,80
4,XLOC-025590#SERIC-NEMVE#A7S4N4,81
4,XLOC-025616#ELL2-MOUSE#Q3UKU1,82
4,XLOC-025761#XLOC-025761,83
4,XLOC-015564#XLOC-015564,84
4,XLOC-025827#XLOC-025827,85
4,XLOC-019802#XLOC-019802,86
4,XLOC-015550#XLOC-015550,87
4,gene-evm.model.ptg000009l.939,88
4,XLOC-002826#XLOC-002826,89
4,XLOC-013463#DGKB-MOUSE#Q6NS52,90
4,XLOC-004125#PARN-DANRE#Q7ZU92,91
4,XLOC-026229#OAT-BOVIN#Q3ZCF5,92
4,XLOC-026253#XLOC-026253,93
4,XLOC-026032#ENSA-MOUSE#P60840,94
4,XLOC-025003#NSH1-CAEEL#Q9XWN7,95
4,XLOC-002777#CMI2B-XENLA#A9JS51,96
4,XLOC-019796#XLOC-019796,97
4,XLOC-004563#FUCO-BRAFL#C3YWU0,98
4,XLOC-025044#KLF13-HUMAN#Q9Y2Y9,99
4,XLOC-006212#XLOC-006212,100
5,XLOC-005000#DTD2-MOUSE#Q8BHA3,1
5,XLOC-007156#KALRN-MOUSE#A2CG49,2
5,XLOC-011056#H4-ACRFO#P35059,3
5,XLOC-014230#RSPH1-MOUSE#Q8VIG3,4
5,XLOC-009491#RBM34-HUMAN#P42696,5
5,XLOC-010365#NUCB2-RAT#Q9JI85,6
5,gene-evm.model.ptg000016l.224#gene-evm.model.ptg000016l.224,7
5,XLOC-006268#TM50A-HUMAN#O95807,8
5,XLOC-011470#XLOC-011470,9
5,XLOC-014681#XLOC-014681,10
5,XLOC-023230#XLOC-023230,11
5,XLOC-002448#XLOC-002448,12
5,XLOC-022245#XLOC-022245,13
5,XLOC-024447#XLOC-024447,14
5,XLOC-022244#XLOC-022244,15
5,XLOC-005235#XLOC-005235,16
5,novel-gene-chr8-8441#HS71A-BOVIN#Q27975,17
5,XLOC-016324#FLC2A-DANRE#A0A0R4ILB2,18
5,gene-evm.model.ptg000014l.460,19
5,XLOC-011892#NPFF1-HUMAN#Q9GZQ6,20
5,XLOC-023868#S13A5-HUMAN#Q86YT5,21
5,XLOC-023262#XLOC-023262,22
5,XLOC-014222#XLOC-014222,23
5,XLOC-001949#GPN3-DANRE#Q6ZM63,24
5,XLOC-018260#XLOC-018260,25
5,gene-evm.model.ptg000016l.650,26
5,gene-evm.model.ptg000007l.487#gene-evm.model.ptg000007l.487,27
5,XLOC-020894#ESM1-MOUSE#Q9QYY7,28
5,XLOC-026623#XLOC-026623,29
5,XLOC-000984#XLOC-000984,30
5,gene-evm.model.ptg000027l.325,31
5,XLOC-026676#EMX1-XENTR#Q6GLB9,32
5,XLOC-004724#XLOC-004724,33
5,XLOC-012869#MYG1-BOVIN#Q58DG1,34
5,XLOC-020888#ADA2-HUMAN#Q9NZK5,35
5,XLOC-020125#SAV1-HUMAN#Q9H4B6,36
5,XLOC-011958#NTM1A-BOVIN#Q2T9N3,37
5,gene-evm.model.ptg000023l.351,38
5,gene-evm.model.ptg000023l.876#BCDO2-MUSPF#Q6QT07,39
5,XLOC-026726#XLOC-026726,40
5,XLOC-010572#XLOC-010572,41
5,XLOC-006750#TRI17-BOVIN#Q2T9Z0,42
5,gene-evm.model.ptg000007l.612#AMDB-XENLA#P12890,43
5,gene-evm.model.ptg000023l.915-1,44
5,XLOC-020792#XLOC-020792,45
5,XLOC-013586#NOSTN-MOUSE#Q6WKZ7,46
5,XLOC-004991#EF2KT-MOUSE#Q3UZW7,47
5,gene-evm.model.ptg000001l.675#gene-evm.model.ptg000001l.675,48
5,XLOC-016536#SHCAF-HUMAN#Q9NP50,49
5,XLOC-004707#XLOC-004707,50
5,gene-evm.model.ptg000020l.168#NEMF-MOUSE#Q8CCP0,51
5,gene-evm.model.ptg000010l.1279-1,52
5,XLOC-011085#XLOC-011085,53
5,XLOC-005316#POL3-DROME#P04323,54
5,XLOC-011773#HMCES-CHICK#Q5ZJT1,55
5,XLOC-000267#XLOC-000267,56
5,gene-evm.model.ptg000013l.381#METL9-CHICK#Q5ZMH6,57
5,XLOC-005576#UTP11-RAT#Q8R5K5,58
5,XLOC-008442#XLOC-008442,59
5,XLOC-021816#LORF2-MOUSE#P11369,60
5,XLOC-005334#XLOC-005334,61
5,XLOC-022102#XLOC-022102,62
5,XLOC-011645#XLOC-011645,63
5,XLOC-023776#XLOC-023776,64
5,gene-evm.model.ptg000037l.15-1,65
5,XLOC-021897#XLOC-021897,66
5,XLOC-019515#CML4-ORYSJ#Q84MN0,67
5,gene-evm.model.ptg000012l.370,68
5,XLOC-024027#LIN1-NYCCO#P08548,69
5,XLOC-023820#XLOC-023820,70
5,XLOC-007746#XLOC-007746,71
5,XLOC-023929#XLOC-023929,72
5,gene-evm.model.ptg000012l.59-1,73
5,gene-evm.model.ptg000011l.326-1,74
5,XLOC-023346#XLOC-023346,75
5,XLOC-008590#TAOK2-HUMAN#Q9UL54,76
5,XLOC-016321#TYRO-STRLN#P55023,77
5,XLOC-016704#XLOC-016704,78
5,gene-evm.model.ptg000017l.261,79
5,gene-evm.model.ptg000020l.1308-1,80
5,gene-evm.model.ptg000010l.1367#gene-evm.model.ptg000010l.1367,81
5,XLOC-010021#XLOC-010021,82
5,XLOC-023036#XLOC-023036,83
5,XLOC-022283#ASTL-COTJA#P42662,84
5,gene-evm.model.ptg000017l.1603,85
5,XLOC-018850#XLOC-018850,86
5,XLOC-024659#XLOC-024659,87
5,XLOC-010392#ELMD3-BOVIN#Q58DT5,88
5,gene-evm.model.ptg000055l.168#IQUB-MOUSE#Q8CDK3,89
5,gene-evm.model.ptg000010l.1470-1,90
5,XLOC-011426#PMGT1-BOVIN#Q5EAB6,91
5,XLOC-019760#XLOC-019760,92
5,gene-evm.model.ptg000010l.15-1,93
5,XLOC-001921#XYLK-HUMAN#O75063,94
5,XLOC-023129#XYLB-HUMAN#O75191,95
5,XLOC-008062#RAB8A-BOVIN#A4FV54,96
5,XLOC-008357#XLOC-008357,97
5,XLOC-008064#RFX7-XENLA#A0A1L8H0H2,98
5,XLOC-014207#CADN-ACRMI#B3EWZ3,99
5,XLOC-007323#XLOC-007323,100
6,XLOC-020545#XLOC-020545,1
6,XLOC-018921#XLOC-018921,2
6,XLOC-000102#T185B-HUMAN#Q9H7F4,3
6,XLOC-009492#XLOC-009492,4
6,XLOC-006354#XLOC-006354,5
6,XLOC-010578#XLOC-010578,6
6,XLOC-006369#XLOC-006369,7
6,XLOC-006255#XLOC-006255,8
6,XLOC-016615#XLOC-016615,9
6,XLOC-017455#XLOC-017455,10
6,gene-evm.model.ptg000030l.23-1,11
6,XLOC-024530#NLRP3-BOVIN#A6QLE5,12
6,XLOC-011538#XLOC-011538,13
6,XLOC-018724#XLOC-018724,14
6,XLOC-016929#XLOC-016929,15
6,XLOC-026073#CND2-MOUSE#Q8C156,16
6,XLOC-021623#XLOC-021623,17
6,XLOC-013029#SMAL1-XENTR#Q0P4U8,18
6,XLOC-007747#XLOC-007747,19
6,XLOC-017200#XLOC-017200,20
6,XLOC-026098#S17A5-SHEEP#Q9MZD1,21
6,XLOC-012780#BTBD6-XENTR#Q0V9W6,22
6,XLOC-016724#XLOC-016724,23
6,XLOC-003038#INHBA-MOUSE#Q04998,24
6,XLOC-023054#PFD2-BOVIN#A1A4P5,25
6,XLOC-018423#P2RX7-MOUSE#Q9Z1M0,26
6,XLOC-001397#H32-CICIN#Q5MYA4,27
6,gene-evm.model.ptg000023l.655#CCD40-MOUSE#Q8BI79,28
6,XLOC-003836#XLOC-003836,29
6,XLOC-012420#RFX6-DANRE#Q5RJA1,30
6,XLOC-021122#XLOC-021122,31
6,XLOC-005150#TET5C-DANRE#Q7ZUP1,32
6,XLOC-010388#XLOC-010388,33
6,XLOC-007699#XLOC-007699,34
6,gene-evm.model.ptg000027l.218-1,35
6,gene-evm.model.ptg000016l.475,36
6,gene-evm.model.ptg000007l.16-1,37
6,XLOC-021109#YI31B-YEAST#Q7LHG5,38
6,gene-evm.model.ptg000009l.713#gene-evm.model.ptg000009l.713,39
6,XLOC-006635#PHF14-MOUSE#Q9D4H9,40
6,XLOC-005357#XLOC-005357,41
6,XLOC-019624#XLOC-019624,42
6,XLOC-017737#XLOC-017737,43
